"",,Final budget,,Expenditure,,
Country,Annual,Supplementary Total,Annual,Supplementary,,Total
"",programme,programme,programme,programme,,
"",1budget,1 budget,budget,budget,,
Afghanistan,"62,600,906","0 62,600,906","56,336,186",0,,"56,336,186"
Islamic Republic of Iran,"13,435,615","2,708,423 16,144,038","12,080,368","1,817,740",,"13,898,108"
Pakistan,"22,921,077","10,739,320 33,660,397","22,691,810","10,739,320",,"33,431,130"
2Regional projects,"1,237,188","0 1,237,188","1,128,390",0,,"1,128,390"
Total,"100,194,786","13,447,743 113,642,529","92,236,754","12,557,060",,"104,793,814"
