"",Donor,"Annualprogramme budget","Supplementaryprogramme budget"
Afghanistan,,,
"",Amitié sans frontières,"39,788",0
"","Association française de soutien àl'UNHCR","51,090",0
"",Australia,"3,514,329",0
"",Australia for UNHCR,"426,970",0
"",Austria,"663,130",0
"",Denmark,"940,171",0
"",European Commission,"10,760,568",0
"",Finland,"497,512",0
"",France,"397,878",0
"",Germany,"2,003,702",0
"",Greece,"156,000",0
"",Italy,"612,745",0
"",Japan,"2,411,440",0
"",Japan Association for UNHCR,"446,217",0
"","Miscellaneous donors / Privatedonors in Canada","131,698",0
"","Miscellaneous donors / Privatedonors in Greece","73,290",0
"","Miscellaneous donors / Privatedonors in Italy","239,767",0
"",Netherlands,"4,443,000",0
"",Norway,"1,756,129",0
"","Sheikha Fatima Fund for RefugeeWomen-Children","107,600",0
"",Spain,"171,907",South-West Asia0
"",Switzerland,"2,190,634",0
"",UK for UNHCR,"114,296",0
"",United Kingdom,"1,127,618",0
"",United States of America,"350,000",0
"",USA for UNHCR,"19,566",0
Sub-total,,"33,647,044",0
Islamic Republic of Iran,,,
1,,Annual,,Supplementary
Earmarking,Donor,,,
"",,programme budget,,programme budget
"",Deutsche Stiftung für,,,
"",,0,,"160,099"
"",UNO-Flüchtlingshilfe E.V (DEU),,,
"",European Commission,"1,960,106",,0
"",Germany,"592,417",,0
"",Italy,"245,098",,0
"",Japan,"2,500,000",,0
"",Japan Association for UNHCR,"16,622",,0
"",Miscellaneous donors / Private,,,
"",,150,,0
"",donors in Switzerland,,,
"",Stichting Vluchteling (NED),"624,306",,0
"",Switzerland,"396,825",,0
"",United States of America,"150,000",,0
Sub-total,,"6,485,568",,"160,099"
Pakistan,,,,
"",Association française de soutien à,,,
"",,"16,791",,0
"",l'UNHCR,,,
"",Eli Lilly Export S.A.,"16,000",,0
"",European Commission,"3,662,950",,0
"",Germany,"612,745",,0
"",Japan Association for UNHCR,"20,863",,0
"",Spain,"310,928",,0
"",United States of America,"786,649",,0
Sub-total,,"5,426,925",,0
South-West Asia,,,,
"",Canada,"3,816,794",,0
"",Denmark,"1,647,446",,0
"",European Commission,"South-West Asia 16,783",,"301,925"
"",Japan,"9,000,000",,0
"",Miscellaneous donors / Private,,,
"",,"7,086",,0
"",donors in Switzerland,,,
"",Sweden,"5,219,780",,0
"",United Kingdom,"4,528,985",,0
"",United States of America,"35,300,000",,0
Sub-total,,"59,610,604",,"301,925"
Total,,"105,170,141",,"462,024"
