"",,,,,,
"",,,,,,
"",,,,,,
Afghanistan,"57,364,250",0,"57,364,250","51,933,968",0,"51,933,968"
"Islamic Republic ofIran","16,576,456","790,000","17,366,456","15,514,079","700,934","16,215,013"
Pakistan,"24,001,574","126,840,263","150,841,837","20,028,264","103,563,525","123,591,790"
Regional activities 1,"1,687,923",0,"1,687,923","418,715",0,"418,715"
Total,"99,630,203","127,630,263","227,260,466","87,895,026","104,264,459","192,159,485"
""
""
""
""
