Country,Annual budget,"Supplementarybudget 1",Total,Annual budget,"Supplementarybudget",Total
Afghanistan,"70,641,122",0,"70,641,122","70,329,927",0,"70,329,927"
"Islamic Republicof Iran","11,455,653","884,782","12,340,435","11,330,581","632,241","11,962,822"
Pakistan,"20,769,247","2,548,598","23,317,845","20,473,887","1,468,933","21,942,820"
"Regional2activities","1,787,300",0,"1,787,300","798,377",0,"798,377"
Total,"104,653,322","3,433,380","108,086,702","102,932,772","2,101,174","105,033,946"
